"id";"name";"species";"price";"for_viewing"
"1";7;"Hissing cockroach";"Invertebrates";1000;TRUE
"2";8;"Winged Birdsfoot Trefoil";"Invertebrates";1000;TRUE
"3";16;"Tayra";"Mammals";5000;TRUE
"4";35;"Caiman vulture";"Reptiles";2000;TRUE
"5";37;"Yellow-faced turtle";"Reptiles";1000;TRUE
"6";38;"Steppe turtle (= four-toed)";"Reptiles";1500;TRUE
"7";39;"Elephant Turtle";"Reptiles";5000;TRUE
"8";40;"Giant tortoise";"Reptiles";5000;TRUE
"9";41;"Rock turtle";"Reptiles";1000;TRUE
"10";50;"Cuban Iguana";"Reptiles";3000;TRUE
"11";56;"Scink salamander";"Reptiles";1000;TRUE
"12";59;"Dracena guyana";"Reptiles";3000;TRUE
"13";61;"Varan emerald";"Reptiles";1500;TRUE
"14";67;"Rainbow raisin";"Reptiles";1500;TRUE
"15";68;"Cuban raisin";"Reptiles";1500;TRUE
"16";70;"Buzzard";"Reptiles";2000;TRUE
"17";71;"Tiger python";"Reptiles";2000;TRUE
"18";73;"Royal python";"Reptiles";2000;FALSE
"19";75;"Green Pythium";"Reptiles";2000;TRUE
"20";77;"Ruthven's coral";"Reptiles";1500;TRUE
"21";79;"Nose snake";"Reptiles";1500;FALSE
"22";83;"Nandu Darwin's";"Birds";5000;TRUE
"23";84;"Helmet casemaker";"Birds";8000;TRUE
"24";85;"Emu brown";"Birds";5000;TRUE
"25";86;"Humboldt's Penguin";"Birds";5000;TRUE
"26";87;"White Pelican";"Birds";8000;TRUE
"27";88;"Curly Pelican";"Birds";8000;TRUE
"28";90;"Night Quack";"Birds";2000;TRUE
"29";91;"Common Tern";"Birds";2000;TRUE
"30";93;"Black Stork";"Birds";2500;TRUE
"31";94;"Stork simbil";"Birds";2500;TRUE
"32";95;"Marabu African";"Birds";4000;FALSE
"33";97;"African zebrafish";"Birds";2500;TRUE
"34";98;"Red Ibis";"Birds";3000;TRUE
"35";99;"White Ibis";"Birds";3000;TRUE
"36";100;"Rock Ibis";"Birds";3000;TRUE
"37";102;"White columbine";"Birds";3000;TRUE
"38";103;"Chilean flamingo";"Birds";3000;TRUE
"39";104;"Pink flamingo";"Birds";3000;TRUE
